ctrgcn_jm_3d,ctrgcn_b_3d,ctrgcn_j_3d,ctrgcn_j_3d_resample,ctrgcn_j_3d_resample_rotate,ctrgcn_b_2d,ctrgcn_j_2d,ctrgcn_bm_2d,ctrgcn_jm_2d,tdgcn_j_2d,blockgcn_j_3d,blockgcn_jm_3d,blockgcn_b_3d,blockgcn_bm_3d,ctrgcn_b_3d_resample_rotate,degcn_J_3d,degcn_B_3d,former_bm_r_w_2d,former_bm_2d,former_j_2d,former_j_3d,former_b_3d,former_j_3d_resample_rotate,former_jm_2d,former_b_3d_resample_rotate,skateformer_j_3d,true
8,32,32,32,25,48,48,10,25,48,8,8,32,8,32,32,32,10,72,48,32,32,32,10,32,32,32
18,33,33,33,33,33,33,111,47,33,33,33,33,33,33,33,33,111,111,33,33,33,33,111,111,33,33
13,13,13,13,13,144,15,55,144,15,13,73,34,34,13,13,34,55,73,144,144,144,13,55,13,34,34
12,12,35,12,35,35,35,12,35,35,35,12,35,51,12,35,35,56,12,35,12,12,12,56,12,12,35
36,36,36,36,36,62,36,62,38,36,36,36,38,36,36,36,36,62,62,36,36,36,36,62,36,36,36
37,37,37,37,37,2,2,2,70,2,37,37,37,37,37,37,37,70,35,2,37,37,37,70,37,37,37
39,39,38,38,38,24,2,67,43,37,38,38,38,38,38,41,38,67,37,40,38,38,38,67,38,38,38
115,39,39,39,39,0,45,36,40,0,39,115,39,39,39,39,39,41,62,0,39,39,39,41,39,39,39
41,31,31,31,39,0,0,0,0,0,40,31,39,41,31,31,31,40,24,0,40,39,31,40,31,39,40
41,31,39,31,39,40,40,40,24,40,40,41,40,41,31,31,40,24,40,40,40,39,31,24,31,39,41
42,42,42,42,42,42,42,42,136,42,42,42,42,42,42,42,42,138,138,42,42,42,42,138,42,42,42
43,43,41,43,43,117,41,39,38,41,40,43,41,118,43,43,41,24,117,43,43,43,43,24,43,43,43
39,44,44,44,44,18,125,44,65,44,44,44,44,44,44,44,44,64,64,44,44,44,44,64,27,69,44
125,45,34,45,45,34,34,35,0,1,45,113,45,1,45,34,45,1,35,1,1,1,34,1,45,34,45
46,46,46,6,46,7,46,6,46,46,46,46,46,6,46,6,46,6,20,14,6,6,6,6,6,6,46
47,47,47,47,47,47,28,8,8,28,47,47,47,47,47,47,47,47,33,25,8,8,28,47,28,47,47
48,28,28,48,48,48,48,69,48,48,48,48,48,48,48,48,48,28,48,48,48,48,48,28,48,48,48
49,49,49,49,49,4,52,4,4,4,49,49,49,52,49,49,49,49,4,49,4,49,49,49,49,49,49
49,50,49,49,49,50,4,50,50,50,50,49,50,49,4,49,50,50,4,50,50,49,50,50,49,50,50
50,50,50,50,50,50,51,50,50,50,50,50,50,50,50,50,50,50,4,50,50,50,50,50,50,50,51
4,52,49,49,49,49,49,50,50,4,49,52,52,52,49,49,49,52,4,52,49,49,4,52,4,4,52
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,53,53,53,53,53,53,53,53
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
117,111,111,111,111,47,38,55,55,36,110,55,110,33,111,111,111,10,55,100,111,111,111,10,111,55,55
21,56,56,56,56,56,56,10,48,56,56,56,56,1,56,56,56,68,45,56,56,56,56,68,56,56,56
64,57,57,57,57,57,57,30,67,57,57,21,57,21,33,57,57,70,30,57,57,57,57,70,57,57,57
58,58,58,58,58,58,58,58,58,58,58,58,58,58,101,58,58,58,58,58,58,58,58,58,58,58,58
59,59,59,59,59,59,66,59,66,66,59,59,59,59,59,59,59,66,20,66,59,59,59,66,59,59,59
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
61,61,61,61,61,61,61,4,6,61,61,61,61,61,61,61,61,145,14,61,61,61,61,145,61,61,61
68,68,71,68,71,71,71,63,63,63,68,68,71,71,71,71,68,68,70,63,68,68,68,68,68,68,62
63,63,63,63,63,29,121,29,29,29,63,63,63,29,63,29,63,63,29,63,29,29,29,63,29,29,63
26,0,0,0,0,40,40,40,41,0,0,26,0,38,0,0,0,41,25,40,64,0,0,41,38,0,64
65,65,65,62,65,65,63,65,65,65,65,65,65,65,65,65,65,65,65,65,65,62,62,65,65,65,65
66,66,66,66,66,66,140,66,66,149,66,66,66,66,66,66,66,66,20,66,66,66,66,66,66,66,66
67,70,67,67,37,0,0,0,0,0,37,67,70,67,70,37,67,67,0,24,67,67,37,67,0,70,67
68,68,68,68,68,68,68,70,68,65,68,68,68,62,68,68,68,68,150,68,68,68,68,68,68,68,68
69,69,69,69,69,69,69,69,69,69,151,69,69,69,65,69,69,70,70,69,69,69,69,70,69,69,69
70,18,70,70,70,63,63,63,63,63,70,70,70,70,70,18,18,63,63,63,18,70,70,63,70,70,70
71,71,71,71,71,71,71,71,69,71,71,71,71,71,71,71,71,65,71,71,71,71,71,65,71,71,71
72,72,72,72,72,72,72,72,2,72,72,118,72,72,72,72,72,72,72,72,72,72,69,72,72,69,72
55,73,73,73,73,110,73,33,73,73,73,73,111,111,73,73,73,73,111,73,111,111,111,73,73,111,73
116,99,99,99,99,99,99,99,26,99,99,116,99,116,99,99,99,99,55,99,99,99,99,99,99,99,99
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
101,101,101,101,101,101,101,101,126,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,55,102,102,102,102,102,102,102,102
103,103,103,103,103,103,103,109,103,103,103,103,103,103,103,103,103,58,103,103,58,58,103,58,58,103,103
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,112,112,104,104,104,104,112,104,104,104
72,105,105,105,105,105,105,19,105,105,105,19,105,72,105,105,105,19,72,105,105,105,105,19,105,105,105
106,114,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,114,106,106,106,106,106
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107
108,108,108,108,108,108,108,108,37,108,108,37,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,106,110,110,110,110,110,110,110,110
111,111,111,111,111,100,111,111,111,111,111,111,111,111,111,111,111,111,110,111,111,111,111,111,111,111,111
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112
113,113,113,113,113,113,99,99,120,113,113,113,113,113,113,113,113,99,113,113,113,113,113,99,113,113,113
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
115,115,115,115,115,116,116,115,115,115,115,115,115,115,115,115,115,116,115,116,115,116,115,116,116,115,115
39,116,116,116,116,116,116,116,116,115,116,39,116,39,116,116,116,117,117,116,116,116,116,117,116,116,116
117,117,117,117,117,117,117,117,115,117,117,117,117,39,117,117,117,116,117,117,117,117,117,116,117,117,117
118,118,118,118,118,118,118,72,72,118,118,72,118,72,118,118,118,72,118,118,118,118,118,72,43,118,118
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
121,121,60,121,50,121,4,121,4,4,138,121,121,149,4,121,121,121,4,4,121,4,121,121,4,121,121
53,123,53,53,53,100,19,100,67,46,53,53,53,124,53,53,53,124,111,62,123,110,123,124,110,53,122
141,122,124,142,124,49,4,53,4,122,122,141,122,122,124,124,124,122,49,122,4,4,124,122,4,4,124
26,2,24,24,24,2,2,3,3,2,70,2,70,62,24,2,24,2,2,2,70,2,2,2,2,24,125
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
127,127,127,127,127,127,127,123,127,127,127,127,127,123,127,127,127,127,141,127,127,127,1,127,127,127,127
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,149,129,129,129,129,129,129,129,129
136,136,136,136,136,138,138,136,136,136,136,138,138,136,138,136,138,136,138,138,136,136,136,136,136,138,136
137,137,137,137,137,137,137,137,137,137,137,137,137,136,137,137,137,137,136,137,137,137,137,137,137,137,137
122,136,138,136,136,138,151,119,3,138,136,138,136,122,138,138,136,119,69,136,138,138,138,119,138,138,138
73,139,73,139,149,139,139,139,139,139,139,139,139,139,139,139,139,139,139,73,139,139,149,139,139,139,139
129,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,141,149,140,140,140,140,141,140,140,140
141,141,141,127,127,141,141,141,22,141,141,127,141,127,141,141,141,141,23,141,141,141,48,141,141,141,141
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
143,143,143,143,143,23,59,143,139,59,143,143,143,143,143,143,143,23,46,22,143,143,143,23,143,143,143
144,144,144,144,144,18,18,21,144,144,144,144,144,144,144,144,144,144,33,144,144,144,144,144,144,144,144
52,52,121,11,11,11,2,11,12,11,51,65,52,51,52,11,65,42,129,11,11,52,65,42,35,71,145
5,129,149,140,5,149,140,140,149,149,17,17,140,149,149,17,149,140,140,149,65,65,19,140,149,140,149
150,150,69,150,70,150,150,151,63,150,69,42,70,150,150,150,150,137,20,150,150,150,69,137,42,70,150
151,137,151,151,151,138,151,151,151,151,151,151,151,151,151,151,151,151,151,151,136,151,151,151,151,137,151
76,74,76,74,86,74,76,74,135,75,86,148,86,86,87,74,86,148,148,74,74,86,74,148,148,86,74
75,75,75,75,75,75,75,75,75,85,75,75,75,75,75,75,75,75,85,75,85,85,75,75,75,75,75
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
78,77,77,87,77,77,77,78,77,77,77,77,77,77,77,77,77,77,78,77,77,77,77,77,87,77,77
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,87,78,78
79,79,79,79,82,79,82,83,79,79,79,79,79,79,74,79,79,79,79,79,79,79,79,79,87,79,79
80,80,80,80,80,80,80,80,80,80,80,83,80,80,80,80,80,83,83,80,80,83,80,83,83,80,80
81,81,81,81,81,81,81,81,130,81,81,81,81,81,81,81,81,130,74,81,81,81,81,130,81,81,81
74,76,82,76,76,74,86,82,82,82,82,76,82,82,76,76,82,76,81,82,76,76,82,76,82,76,82
83,83,83,83,83,83,83,83,83,83,83,83,135,83,83,83,83,83,135,83,83,83,83,83,135,83,83
84,85,84,84,84,85,74,84,84,85,84,84,84,85,88,84,84,84,84,84,86,86,84,84,84,84,84
84,84,84,84,84,84,84,84,84,84,85,85,85,85,84,85,85,84,84,85,84,84,85,84,84,84,85
86,86,86,86,86,86,86,86,148,86,86,86,86,74,86,86,86,148,135,74,86,86,86,148,86,86,86
148,87,87,87,74,146,87,87,87,75,87,146,87,148,87,74,146,87,146,87,87,87,74,87,87,87,87
88,88,88,88,88,88,88,88,88,88,88,88,88,85,88,88,88,88,88,88,88,88,88,88,94,88,88
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
93,93,93,93,93,93,93,93,95,93,93,93,93,95,93,93,93,93,95,93,93,93,93,93,93,93,93
94,94,94,94,94,94,94,94,94,94,94,97,94,94,94,94,94,89,89,94,94,94,94,89,94,94,94
36,95,95,95,95,75,85,95,131,95,95,24,95,95,95,95,95,81,95,95,95,95,95,81,95,95,95
82,96,96,96,96,96,96,96,148,82,96,82,96,148,96,96,96,96,82,96,96,96,96,96,96,96,96
97,97,97,97,97,97,97,94,89,133,97,97,97,133,97,97,97,89,97,97,97,97,97,89,97,97,97
98,98,98,98,98,98,83,98,98,98,98,98,98,98,98,98,98,98,83,98,98,98,98,98,98,98,98
130,130,130,130,130,130,130,130,130,130,130,130,130,74,130,130,8,130,130,130,130,130,130,130,130,130,130
131,131,131,131,93,93,93,131,131,93,131,131,93,131,131,93,93,131,93,131,93,131,93,131,93,93,131
132,132,78,132,132,87,87,87,87,87,132,87,132,131,132,132,132,87,83,132,132,132,132,87,132,132,132
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
134,134,134,134,134,134,134,134,135,130,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
146,146,146,146,146,146,146,95,95,146,146,146,146,146,146,146,146,95,95,146,146,146,146,95,146,146,146
148,148,148,148,148,148,148,148,138,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,79,148,148
2,71,29,49,66,52,68,52,52,52,2,71,2,4,71,29,37,52,49,52,65,65,92,52,4,16,15
16,149,16,16,16,35,16,5,16,16,16,16,16,5,5,16,16,5,35,16,16,16,16,5,149,16,16
17,17,17,17,17,5,5,17,17,5,17,17,17,5,17,17,17,17,17,17,17,17,17,17,17,149,17
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
61,20,20,20,20,61,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
21,21,21,21,21,3,21,21,21,21,21,21,21,21,21,21,21,21,6,20,21,20,21,21,21,21,21
22,22,22,22,22,22,22,22,23,23,22,22,22,141,22,22,22,22,59,22,22,22,147,22,22,22,22
23,23,23,23,23,22,22,22,22,22,23,23,23,23,23,23,23,22,20,22,23,23,23,22,23,23,23
150,24,24,24,24,21,21,38,21,21,24,24,24,62,24,24,24,21,33,21,24,24,24,21,24,24,24
36,68,68,68,25,36,3,36,36,38,25,36,25,36,25,68,68,62,41,38,68,68,25,62,25,25,25
117,117,26,26,26,117,117,117,38,26,26,117,26,117,26,26,26,41,38,117,26,40,117,41,117,26,26
26,27,27,27,27,67,27,26,17,27,27,38,27,39,27,27,27,5,42,27,27,27,27,5,27,27,27
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,37,28,28,28,28,28,28,28,28
71,29,29,71,29,71,29,71,71,29,71,29,29,4,71,29,71,71,29,4,29,4,29,71,29,4,29
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
41,31,31,31,31,31,31,41,40,31,31,31,31,41,31,31,31,40,38,31,31,31,31,40,31,31,31
32,32,32,32,32,32,32,56,56,32,32,32,32,32,32,32,32,21,21,32,32,32,32,21,32,32,32
33,33,33,33,33,33,33,33,10,33,33,33,33,8,33,33,33,9,33,33,33,33,33,9,57,33,33
18,34,34,34,34,34,34,55,57,24,34,18,34,47,34,34,34,55,111,55,34,34,34,55,34,34,34
145,145,145,145,145,144,145,63,145,145,145,42,145,145,145,145,145,144,73,145,145,145,145,144,145,145,35
36,36,36,36,36,62,36,0,0,36,36,36,36,36,36,36,36,21,21,0,36,36,36,21,125,36,36
37,37,37,37,2,40,40,40,43,2,37,2,37,41,2,37,37,115,127,40,37,37,2,115,37,2,37
40,64,43,40,40,41,40,117,43,41,41,38,41,38,64,40,64,41,0,39,64,64,40,41,41,41,38
5,39,39,39,39,70,67,67,0,70,39,115,39,5,39,39,39,40,117,70,70,39,39,40,39,39,39
24,24,24,40,24,24,40,24,40,24,24,40,40,38,24,24,24,31,41,40,24,24,24,31,24,24,40
26,150,150,41,24,41,31,72,38,41,150,117,41,39,24,150,24,26,26,43,24,24,24,26,150,24,41
42,42,42,42,42,42,42,42,143,42,42,42,42,42,42,42,42,140,140,42,42,42,42,140,42,42,42
40,40,24,40,24,41,39,1,72,72,40,41,40,118,24,24,24,72,1,43,24,24,43,72,41,43,43
44,44,44,44,44,44,52,64,68,44,44,44,44,44,44,44,44,65,44,44,44,44,44,65,44,44,44
34,0,34,125,125,34,44,44,35,34,44,1,44,1,150,125,150,34,16,27,125,1,34,34,44,125,45
46,46,46,46,46,46,6,6,46,122,46,46,46,6,46,46,46,6,29,6,46,6,6,6,6,6,46
47,47,47,47,47,63,18,28,70,47,47,47,47,47,47,47,47,57,111,63,18,18,47,57,47,47,47
48,44,44,1,48,48,48,48,48,69,48,48,48,48,1,44,48,48,28,10,48,44,48,48,48,48,48
4,4,4,4,4,50,4,50,121,121,4,4,4,4,4,49,49,49,29,4,4,4,4,49,4,49,49
50,49,4,4,4,121,121,121,4,121,49,50,49,49,4,49,49,121,4,121,4,4,4,121,4,4,50
51,51,51,51,52,53,51,53,151,51,52,51,52,51,51,51,52,121,51,151,52,52,51,121,52,51,51
51,51,51,151,52,53,53,51,51,136,151,51,151,51,51,151,52,136,51,137,51,51,51,136,51,51,52
53,53,53,53,53,151,141,53,141,53,53,53,53,53,53,53,53,53,61,137,53,53,151,53,53,53,53
54,54,54,53,53,124,53,122,122,53,53,54,54,54,54,54,54,122,66,46,53,53,4,122,49,4,54
110,55,55,55,55,73,55,144,144,55,55,73,55,55,55,55,55,18,55,55,55,55,55,18,55,55,55
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
21,57,57,57,57,57,57,57,56,57,57,57,57,17,57,57,57,57,57,57,57,57,57,57,127,57,57
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,42,58,58,58,58,58,58,58,58
59,59,59,59,59,59,59,59,59,59,59,59,59,147,59,59,59,59,59,59,59,59,89,59,59,59,59
60,61,60,61,60,61,60,60,60,60,60,60,60,60,60,60,60,60,61,60,60,60,60,60,60,60,60
61,61,61,61,61,61,61,61,20,61,61,61,61,60,61,61,61,61,61,60,61,61,61,61,61,61,61
70,68,68,65,68,68,65,65,70,65,68,70,68,65,65,68,65,65,4,65,68,68,68,65,70,68,62
29,63,29,63,29,63,63,63,63,63,63,63,63,29,63,29,63,63,63,63,29,29,63,63,63,63,63
64,64,64,64,64,64,64,125,68,64,64,5,41,64,64,64,64,62,64,64,64,64,64,62,64,64,64
67,63,65,65,65,65,65,65,65,65,65,65,63,65,65,65,65,65,63,65,65,68,65,65,63,65,65
66,66,66,66,20,66,66,66,6,66,66,66,66,66,66,66,66,22,66,66,66,66,23,22,66,66,66
70,70,70,67,67,70,70,65,67,70,70,70,70,62,70,67,70,65,149,70,70,67,67,65,70,67,67
70,65,65,70,70,68,65,67,63,70,71,67,70,67,70,70,70,67,63,65,70,70,70,67,70,70,68
72,69,69,69,69,69,69,69,129,69,69,129,69,72,69,69,69,69,126,69,69,69,69,69,69,69,69
71,70,70,70,69,71,71,71,70,71,70,70,69,71,70,70,70,70,151,70,70,70,70,70,11,70,70
71,69,71,71,71,122,122,69,69,71,71,71,128,123,71,69,71,99,11,71,71,71,71,99,71,71,71
72,72,72,72,72,19,2,2,2,43,72,118,72,72,72,72,72,72,2,19,72,72,42,72,72,138,72
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
50,121,50,121,121,50,121,121,121,121,136,50,121,50,121,50,121,121,126,121,121,50,121,121,50,121,121
122,122,122,122,122,124,124,124,122,124,122,122,122,122,124,122,122,122,46,122,122,122,122,122,122,122,122
123,123,123,123,123,123,123,123,123,123,123,123,123,123,124,123,123,123,123,123,123,123,123,123,123,123,123
124,122,124,124,124,124,124,46,124,124,124,127,124,6,124,124,124,124,46,124,122,122,124,124,124,122,124
36,125,125,24,125,125,64,39,37,24,36,41,125,40,125,125,125,37,37,24,125,36,36,37,24,62,125
126,126,126,126,126,126,126,126,126,126,126,126,126,126,137,126,126,126,126,126,126,126,126,126,126,126,126
127,127,127,127,127,127,127,46,46,127,127,127,127,127,127,127,127,46,55,127,127,127,127,46,127,127,127
129,129,129,129,129,123,122,22,122,49,129,129,129,136,129,129,129,136,126,123,129,129,129,136,129,129,129
121,121,136,136,136,138,138,138,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
62,138,138,138,138,138,138,138,72,72,138,17,138,141,138,138,138,72,141,138,138,138,138,72,138,138,138
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
140,140,140,140,140,140,140,42,140,140,140,140,140,140,140,140,140,140,42,140,140,140,140,140,140,140,140
6,46,6,6,46,151,141,6,141,141,6,6,141,6,6,6,6,141,46,141,6,6,51,141,6,6,141
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,124,142,142,142,128,142,124,142,142,142
139,143,143,143,143,55,139,139,139,110,143,73,143,139,143,143,143,139,139,55,143,143,143,139,73,143,143
144,144,144,144,144,144,144,144,144,144,144,144,34,35,144,144,144,144,144,144,144,144,144,144,144,144,144
145,145,145,145,145,145,35,55,129,145,145,14,145,145,145,145,145,5,104,144,145,35,35,5,35,145,145
147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
149,149,149,149,149,17,5,23,5,149,140,149,149,149,149,149,149,68,139,17,117,149,149,68,140,149,149
150,150,150,150,150,150,149,140,150,149,150,150,150,147,150,150,150,149,149,150,150,140,150,149,140,150,150
137,126,151,151,151,126,151,136,137,151,151,151,151,151,137,137,151,126,126,151,137,137,151,126,137,138,151
152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
52,138,129,40,138,26,26,2,2,26,138,24,129,138,129,129,72,70,1,72,40,129,129,70,138,129,153
154,154,154,154,154,33,154,21,17,100,41,1,154,154,154,154,154,100,110,28,153,153,154,100,154,129,154
75,74,76,74,86,74,86,74,86,86,86,74,86,75,74,129,87,148,130,74,86,86,77,148,74,86,74
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
78,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,146,77,77,77,78,78,77,77,77
87,87,87,87,87,87,78,87,87,87,78,87,87,78,87,87,87,87,83,87,87,87,78,87,87,87,78
79,79,79,79,79,79,79,87,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79
80,80,80,80,80,80,82,80,82,80,80,80,80,80,80,80,80,80,74,80,80,80,80,80,80,80,80
75,81,81,81,81,81,81,81,134,81,81,75,81,75,81,81,81,81,97,75,81,148,81,81,81,81,81
96,96,82,81,82,82,82,96,96,82,96,96,82,148,82,82,80,96,82,81,82,96,80,96,81,82,82
83,83,83,83,83,80,83,83,78,83,83,83,83,83,83,80,83,83,78,80,83,83,83,83,83,80,83
84,84,84,84,84,85,84,84,85,84,84,85,84,85,84,84,84,84,85,84,84,84,84,84,85,84,84
84,85,85,85,84,85,85,85,85,75,85,85,85,85,85,85,85,84,84,84,84,85,85,84,85,85,85
87,74,74,87,74,86,87,74,80,74,86,86,86,86,87,87,74,83,86,74,74,87,132,83,87,86,86
87,74,87,87,87,131,74,78,87,87,87,87,87,87,87,87,87,87,131,87,87,87,87,87,87,87,87
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,84,88,88,88,88,88,88,88,88
89,89,89,89,89,89,89,89,94,89,89,89,89,94,89,89,89,94,89,89,89,89,89,94,89,89,89
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
80,131,93,131,131,131,131,131,131,93,93,81,93,131,131,93,93,93,81,93,131,131,93,93,131,93,93
97,94,97,97,97,94,97,97,97,94,94,97,97,94,94,94,94,94,97,94,97,94,94,94,94,97,94
95,95,77,95,130,95,95,77,77,95,95,130,95,95,95,95,95,95,130,95,95,95,95,95,130,95,95
80,80,80,80,80,80,80,80,80,80,80,17,80,80,80,80,80,80,80,80,80,80,80,80,80,80,96
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,6,94,97,134,97,97,97,94,97,97,97
98,98,98,86,98,98,98,98,98,98,98,86,98,98,98,98,98,98,86,98,98,98,98,98,98,98,98
130,130,130,130,130,130,46,130,130,130,130,130,130,130,130,130,130,130,130,130,130,77,130,130,130,130,130
131,131,76,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
78,132,132,132,132,87,87,130,131,26,132,132,132,132,132,132,132,131,146,132,132,132,132,131,132,132,132
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133
134,134,134,134,134,134,134,134,134,130,134,134,134,134,134,134,134,134,87,130,134,134,134,134,134,134,134
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
146,69,2,86,146,69,69,95,95,146,148,69,146,86,146,31,69,95,95,146,132,31,70,95,132,146,146
148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,81,148,148,148,148,148,148,148,148
55,104,99,99,99,105,72,2,105,72,104,55,104,55,99,99,99,37,70,72,24,34,99,37,34,116,99
100,100,100,100,100,100,28,67,67,28,100,33,100,100,100,100,100,50,65,126,100,100,100,50,100,100,100
101,102,101,101,101,102,108,102,102,102,101,101,101,126,101,101,101,101,101,102,101,101,114,101,101,101,101
102,102,102,102,102,108,102,102,102,102,102,102,102,42,108,102,102,102,102,108,102,102,102,102,108,102,102
101,58,58,103,103,103,103,103,103,103,103,103,103,103,58,103,103,103,101,103,103,103,103,103,58,58,103
2,104,37,67,104,104,37,102,102,104,104,111,104,48,67,104,104,109,72,37,37,37,104,109,37,67,104
115,104,99,99,104,56,120,120,120,120,99,99,99,120,99,99,99,120,120,56,104,120,99,120,99,99,105
112,119,119,119,119,107,107,114,106,106,106,112,119,106,119,106,106,114,126,119,119,106,119,114,106,119,106
101,109,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,106,107,107,107,107,107,107,107,107
59,108,108,108,108,111,152,150,111,59,33,110,108,126,108,108,108,59,21,114,150,150,108,59,59,47,108
109,109,109,109,109,109,109,42,109,109,109,109,109,109,109,109,109,109,42,109,109,109,109,109,109,109,109
55,55,111,55,110,111,111,111,110,111,111,55,111,55,110,110,110,32,111,111,111,111,111,32,111,111,110
55,111,111,111,111,33,33,110,100,39,111,111,111,55,111,111,111,100,100,111,111,111,111,100,111,111,111
112,112,112,112,112,108,108,108,108,108,112,112,112,119,112,112,112,108,108,108,112,112,112,108,112,112,112
113,113,113,113,113,19,118,19,19,105,113,113,113,113,113,113,113,129,19,118,113,113,113,129,113,113,113
114,114,143,114,114,114,114,114,106,114,114,143,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114
26,26,38,39,26,72,72,38,62,72,39,39,39,41,41,116,129,24,142,72,38,39,26,24,26,39,115
38,26,26,39,26,26,38,23,38,26,26,115,26,39,39,26,26,24,18,38,26,39,26,24,26,39,116
40,26,26,26,26,26,38,10,115,26,26,41,26,36,26,26,26,117,127,38,26,26,117,117,26,26,117
